,Time,description_faridabad,temp_faridabad,Feels_faridabad,Precip_faridabad,Humidity_faridabad,wind_faridabad
0,13:00,Partly Cloudy,41,45,0,27,NW 11 km/h 
1,14:00,Partly Cloudy,42,45,0,26,NW 12 km/h 
2,15:00,Partly Cloudy,42,46,0,26,NW 13 km/h 
3,16:00,Mostly Sunny,42,45,0,25,NW 13 km/h 
4,17:00,Sunny,41,45,0,26,NW 13 km/h 
5,18:00,Mostly Sunny,41,44,0,28,NW 12 km/h 
6,19:00,Partly Cloudy,39,43,0,30,NNW 10 km/h 
7,20:30,Mostly Clear,38,42,0,36,NNE 8 km/h 
8,21:30,Clear,36,40,0,38,N 8 km/h 
9,22:30,Clear,36,39,0,39,NNE 7 km/h 
10,23:30,Clear,35,39,0,41,N 6 km/h 
11,00:30,Clear,35,39,0,43,NNW 4 km/h 
12,01:30,Clear,35,38,0,43,NW 4 km/h 
13,02:30,Clear,34,37,0,44,NNW 3 km/h 
14,03:30,Clear,33,37,0,45,NNW 3 km/h 
15,04:30,Clear,33,36,0,46,N 1 km/h 
